Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;117,20;117,80;114,20;114,90;"26/06/2025 16:25";CET;113525;13183292,20;114,90;26/06/2025
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;0,862;0,87;0,85;0,87;"26/06/2025 16:25";CET;74692;64245,28;0,87;26/06/2025
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;122,00;122,00;121,00;121,00;"26/06/2025 11:01";CET;95;11545,00;121,00;26/06/2025
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6,65;6,82;6,65;6,81;"26/06/2025 16:25";CET;3404335;23118359,21;6,81;26/06/2025
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;9,30;9,30;9,22;9,28;"26/06/2025 15:29";CET;33439;309178,76;9,28;26/06/2025
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2,04;2,16;2,04;2,16;"25/06/2025 12:32";CET;1505;3070,80;2,16;26/06/2025
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;150,60;150,60;148,80;149,80;"26/06/2025 16:25";CET;18235;2730156,00;149,80;26/06/2025
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;26,40;26,70;26,40;26,70;"26/06/2025 16:25";CET;6560;174501,00;26,70;26/06/2025
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;1,38;1,38;1,355;1,355;"26/06/2025 16:25";CET;10964;15075,445;1,355;26/06/2025
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;12,32;12,44;12,30;12,30;"26/06/2025 16:25";CET;13285;164419,48;12,30;26/06/2025
AKER;NO0010234552;AKER;"Oslo Børs";NOK;661,00;662,00;653,00;656,00;"26/06/2025 16:25";CET;26685;17518452,00;656,00;26/06/2025
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;61,00;61,00;59,40;60,40;"26/06/2025 16:25";CET;13515;810453,90;60,40;26/06/2025
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;258,10;258,60;254,20;256,30;"26/06/2025 16:26";CET;1201628;307910244,50;256,30;26/06/2025
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;0,35;0,357;0,30;0,3094;"26/06/2025 16:25";CET;53872209;17164349,0774;0,3094;26/06/2025
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;1,478;1,51;1,478;1,498;"26/06/2025 16:25";CET;365576;546254,856;1,498;26/06/2025
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;33,66;35,28;33,60;34,94;"26/06/2025 16:25";CET;498361;17302289,90;34,94;26/06/2025
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;1,375;1,375;1,19;1,31;"26/06/2025 16:25";CET;173459;210911,70;1,31;26/06/2025
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;82,80;84,00;82,80;82,80;"26/06/2025 16:25";CET;2254;189064,60;82,80;26/06/2025
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;0,37;0,37;0,32;0,36;"26/06/2025 15:50";CET;143381;49477,59;0,36;26/06/2025
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;1,47;1,476;1,47;1,472;"26/06/2025 16:25";CET;573673;843992,48;1,472;26/06/2025
