english_sentence,norwegian_sentence,label
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","Selskapet har ifølge Gran ingen planer om å flytte all produksjon til Russland, selv om det er der selskapet vokser.",1
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis planlegger å utvikle i etapper et område på ikke mindre enn 100 000 kvadratmeter for å være vert for selskaper som arbeider innen datateknologi og telekommunikasjon, uttalelsen sa .",1
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,Med det nye produksjonsanlegget ville selskapet øke sin kapasitet for å møte den forventede økningen i etterspørselen og forbedre bruken av råvarer og dermed øke produksjonens lønnsomhet.,2
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","I henhold til selskapets oppdaterte strategi for årene 2009-2012, har Basware som mål en langsiktig netto salgsvekst i størrelsesorden 20 % -40 % med en driftsmargin på 10 % -20 % av netto salg.",2
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For siste kvartal 2010, Componenta 's netto salg doblet til EUR131m fra EUR76m for samme periode et år tidligere, mens det flyttet til en null før skatt overskudd fra en pre-tax tap på EUR7m.",2
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","I tredje kvartal 2010 økte nettosalget med 5,2 % til 205,5 millioner euro, og driftsresultatet med 34,9 % til 23,5 millioner euro.",2
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"Driftsresultatet økte til EUR 13,1 mn fra EUR 8,7 mn i tilsvarende periode i 2007 som tilsvarer 7,7 % av nettosalg.",2
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Driftsresultatet var på 21,1 millioner euro, opp fra 18,6 millioner euro i 2007, noe som tilsvarer 9,7 prosent av nettosalg.",2
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN sier tilbudet er i tråd med sin strategi for å øke sitt eierskap i kjernevirksomheten og vil styrke Eesti Telekom tilbud til sine kunder .,2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston ( CFSB) kjøpte aksjer i fire av de største nordiske skoggruppene.",2
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","En kjøpsavtale for 7,200 tonn bensin med levering på Hamina terminal, Finland, ble signert med Neste Oil OYj på gjennomsnittlig Platts indeks for denne september pluss åtte amerikanske dollar per måned.",2
