english_sentence,norwegian_sentence,label
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,En undersøkelse utført av Taloustutkimus for Sampo Life viser at bedrifter er dårlig forberedt på å miste viktige medarbeidere.,0
"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .","Betaling for kjøpte aksjer vil bli gjort i kontanter, og prisen per aksje vil være EUR 1 pluss en administrasjonsavgift.",1
Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,Margin samtale av Zanadvorov har gitt muligheten til å gjøre et slikt kjøp under kreditt av Deutsche Bank for USD 560 millioner .,1
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .","Arbeidene vil omfatte legging av naturstein fortau og installasjon av underjordisk oppvarming, og overflatevann dreneringssystemer.",1
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .,Kesko har tidligere publisert en børsmelding om avtalen den 7. februar 2007.,1
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .","Konsernets driftsresultat var 0,8 millioner euro, ned fra et overskudd på 2,5 milliarder euro i 2004.",0
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .","EXEL COMPOSITES IN BRIEF Exel Composites er et teknologiselskap som designer, produserer og markedsfører komposittprofiler og rør for industrielle applikasjoner.",1
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .","En databehandling enhet samler inn dataene, beregner RVR verdier og gir data til brukere via ulike grensesnitt.",1
The Oulu plant employs approximately 120 people .,Oulu-anlegget sysselsetter rundt 120 personer.,1
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .","Samtidig er markedet for automatiserte væskehåndteringsenheter allerede større enn for pipetter, ifølge Biohit.",1
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .","``Små bedrifter lider i øyeblikket fordi de sannsynligvis vil ha penger problemer, '' la han til.",0
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .","Omsetning var litt ned, på  x20ac 495 millioner $ 634 millioner, sammenlignet med  x20ac 497 millioner et år tidligere.",0
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","Forhandlere sa aksjen ble i stor grad truffet av investor skuffelse om en raffinering margin på bare 9.48 usd per fat for kvartalet og resultatene av sin shipping enhet, som så EBIT falle til 5 mln eur fra 20 mln eur et år midt i et fall i volumer og tanker priser .",0
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,Vår Canned-bearbeidet mat i Finland rapport tilbyr en omfattende guide til størrelsen og formen på markedet på et nasjonalt nivå.,1
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .","Det er til og med litt høyere enn Yaras multipler på seg selv, sier en analytiker i Helsinki.",1
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,Latvias Stockmann kjøpesenter er et datterselskap av Finlands Stockmann Plc. .,1
"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .","Hoveddelen av leveransene omfatter ulike AC- og CXE-forsterkerløsninger og produkter fra Belgiske DINH Telecom, et bredbåndsselskap som ble kjøpt opp av Teleste våren 2007.",1
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,Også Lemmink+ñinen 's fortjeneste for regnskapsperioden gikk opp til EUR 3.1 mn fra EUR -24.5 mn et år siden .,2
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",Neste Oils raffinerier har en kombinert råolje raffinering kapasitet på ca 260 000 fat om dagen.,1
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",Basware Corporation aksje utveksling utgivelse 31 august 2010 kl 16:25 Basware signert en stor avtale med en internasjonal industrikonsern Basware vil levere Invoice Automation løsning og Connectivity Services til en internasjonal industrikonsern.,2
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .","I Q1 av 2010 , Bank of +àland 's netto renteinntekter økte fra EUR 9.1 mn til EUR 9.7 mn .",2
In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group .,Til gjengjeld vil det New York-baserte private equity-selskapet motta en 51 % eierandel i det latviske IT- og telekom-konsernet.,1
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,Bytte av Editors-in-Chief er en del av utgiverens mål om å forbedre jobbsirkulasjonen i alle personellgrupper.,1
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .","Vi ønsker ham hjertelig velkommen til Satama '', sier Jussi Lansio, styreleder.",2
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","Resultatet for perioden var EUR 10.9 mn, ned fra EUR 14.3 mn i 2009.",0
Nordea will coordinate the syndicated loan .,Nordea vil koordinere det syndikerte lånet.,1
"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .","Når det åpnes neste år, vil det være det største anlegget i verden for å produsere dieseldrivstoff fra fornybare råvarer som palmeolje og animalsk fett.",2
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,"Aspokem hadde et driftsresultat på 2,7 mln euro ($ 3,5 mln) og et nettosalg på 89,1 mln euro ($ 116,8 mln) i 2006.",1
"In addition , Kone signed a two-year maintenance contract for the escalators .",I tillegg signerte Kone en toårig vedlikeholdskontrakt for rulletrappene.,2
These companies will be able to keep their market positions .,Disse selskapene vil være i stand til å holde sine markedsposisjoner .,2
"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .","Risto Jalo, administrerende direktør i Dormus Print og også eier av resten av selskapet, vil beholde sin posisjon etter oppkjøpet.",1
"In this case , the effect would be negative in Finland .",I dette tilfellet vil effekten være negativ i Finland.,0
Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,Huseiere over hele Nord-Amerika har grønne opplevelser å dele fra kostnadsbesparelser til ren og miljøvennlig oppvarming.,1
Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,Mr Kivimeister sa John Deer tidligere Timberjack står for å vinne i situasjonen: det kontrollerer rundt 60% av Estlands skogsmaskiner markedet .,2
Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,Airvanas UMTS Home Base Station femto-celle bruker programvarebasert funksjonalitet og off-the-hylle silisium for å akselerere funksjonsutviklingen og redusere produktkostnaden.,2
The repurchases shall decrease the distributable capital and reserves .,Tilbakekjøpene skal redusere den omsettelige kapitalen og reservene.,0
The combined value of the planned investments is about EUR 30mn .,Den kombinerte verdien av de planlagte investeringene er ca EUR 30mn .,1
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .","Konferanse Call For å delta via en konferanse samtale, vennligst ring i 5-10 minutter før begynnelsen av arrangementet: +44 0 20 7162 0025 Europe eller +1 334-á323-á6201 USA .",1
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,Driftsresultatet inkludert ikke-påfølgende poster steg til 146 millioner euro fra 267 millioner euro i 2009.,2
The electricity requirement of networks will grow with the new mobile generation .,Strømbehovet til nettverk vil vokse med den nye mobile generasjonen.,1
The fine print is here .,Den fine utskriften er her.,1
Cargo volume increased by approximately 5 % .,Cargo volum økte med ca 5 % .,2
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,Connectivity Services inkluderer outsourcet Scan og Capture som overfører papirfakturaer til elektronisk format og Basware Business Transactions Service gjør det mulig for kunden å motta og sende fakturaer i elektronisk format.,1
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .","Disse selskapene eier en 20 000 kvm. kontor- og forretningsbygning og betydelig mengde bygning rett til et nytt kjøpesenter i Liljeholmen, Stockholm.",1
